Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
53B,0200,53B,0000,000,0000,000,0000,0000,004,0100
53B,0200,53C,0200,53B,0200,000,053B,0000,004,0100
53C,EE19,53D,EE19,556,0000,000,0019,0000,004,0100,556,0000
53D,AE15,53E,AE15,553,0000,000,0015,0000,004,0100
53E,0740,53F,0740,53E,0740,000,053E,FFFF,008,1000
53F,0C00,540,0C00,7FF,FFFF,7FF,053F,FFFF,008,1000,7FF,FFFF
540,D700,700,D700,7FE,0541,7FE,D700,FFFF,008,1000,7FE,0541
700,AC01,701,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
701,F001,702,F001,701,F001,7FE,0701,FFFF,008,1000
702,F304,703,F304,702,F304,7FE,0702,FFFF,008,1000
703,6E0A,704,6E0A,70E,F8CC,7FE,000A,0733,001,0001
704,F201,705,F201,704,F201,7FE,0704,0733,001,0001
705,CE05,70B,CE05,705,070B,7FE,0005,0733,001,0001
70B,AE02,70C,AE02,70E,F8CC,7FE,0002,F8CC,009,1001
70C,EC01,70D,EC01,7FF,F8CC,7FE,0001,F8CC,009,1001,7FF,F8CC
70D,0A00,541,0A00,7FE,0541,7FF,070D,F8CC,009,1001
541,0800,542,0800,7FF,F8CC,000,0541,F8CC,009,1001
542,6E13,543,6E13,556,0000,000,0013,F8CC,009,1001
543,EE12,544,EE12,556,F8CC,000,0012,F8CC,009,1001,556,F8CC
544,AE10,545,AE10,555,0000,000,0010,0000,005,0101
545,0C00,546,0C00,7FF,0000,7FF,0545,0000,005,0101,7FF,0000
546,D700,700,D700,7FE,0547,7FE,D700,0000,005,0101,7FE,0547
700,AC01,701,AC01,7FF,0000,7FE,0001,0000,005,0101
701,F001,703,F001,701,F001,7FE,0001,0000,005,0101
703,6E0A,704,6E0A,70E,F8CC,7FE,000A,0734,000,0000
704,F201,705,F201,704,F201,7FE,0704,0734,000,0000
705,CE05,70B,CE05,705,070B,7FE,0005,0734,000,0000
70B,AE02,70C,AE02,70E,F8CC,7FE,0002,F8CC,008,1000
70C,EC01,70D,EC01,7FF,F8CC,7FE,0001,F8CC,008,1000,7FF,F8CC
70D,0A00,547,0A00,7FE,0547,7FF,070D,F8CC,008,1000
547,0800,548,0800,7FF,F8CC,000,0547,F8CC,008,1000
548,0740,549,0740,548,0740,000,0548,F8CB,009,1001
549,6E0C,54A,6E0C,556,F8CC,000,000C,FFFF,008,1000
54A,EE0B,54B,EE0B,556,FFFF,000,000B,FFFF,008,1000,556,FFFF
54B,AE08,54C,AE08,554,0000,000,0008,0000,004,0100
54C,0C00,54D,0C00,7FF,0000,7FF,054C,0000,004,0100,7FF,0000
54D,D700,700,D700,7FE,054E,7FE,D700,0000,004,0100,7FE,054E
700,AC01,701,AC01,7FF,0000,7FE,0001,0000,004,0100
701,F001,703,F001,701,F001,7FE,0001,0000,004,0100
703,6E0A,704,6E0A,70E,F8CC,7FE,000A,0734,000,0000
704,F201,705,F201,704,F201,7FE,0704,0734,000,0000
705,CE05,70B,CE05,705,070B,7FE,0005,0734,000,0000
70B,AE02,70C,AE02,70E,F8CC,7FE,0002,F8CC,008,1000
70C,EC01,70D,EC01,7FF,F8CC,7FE,0001,F8CC,008,1000,7FF,F8CC
70D,0A00,54E,0A00,7FE,054E,7FF,070D,F8CC,008,1000
54E,0800,54F,0800,7FF,F8CC,000,054E,F8CC,008,1000
54F,0700,550,0700,54F,0700,000,054F,F8CD,008,1000
550,6E05,551,6E05,556,FFFF,000,0005,F8CE,008,1000
551,EE04,552,EE04,556,F8CE,000,0004,F8CE,008,1000,556,F8CE
552,0100,553,0100,552,0100,000,0552,F8CE,008,1000
